Sun_x,Sun_y, Merc_x,Merc_y, Earth_x,Earth_y, Jup_x,Jup_y
2.903262e+07,4.238553e+06, 3.130118e+10,4.677993e+10, -1.479117e+11,-2.388163e+10, 7.490631e+11,2.116936e+11
2.932629e+07,4.295008e+06, 2.763447e+10,4.895549e+10, -1.475016e+11,-2.641808e+10, 7.487547e+11,2.127793e+11
2.962134e+07,4.351912e+06, 2.381370e+10,5.085787e+10, -1.470480e+11,-2.894676e+10, 7.484448e+11,2.138645e+11
2.991780e+07,4.409267e+06, 1.985978e+10,5.247557e+10, -1.465512e+11,-3.146691e+10, 7.481332e+11,2.149492e+11
3.021564e+07,4.467074e+06, 1.579458e+10,5.379880e+10, -1.460112e+11,-3.397781e+10, 7.478201e+11,2.160335e+11
3.051486e+07,4.525334e+06, 1.164074e+10,5.481953e+10, -1.454284e+11,-3.647873e+10, 7.475054e+11,2.171173e+11
3.081547e+07,4.584048e+06, 7.421522e+09,5.553161e+10, -1.448028e+11,-3.896892e+10, 7.471892e+11,2.182007e+11
3.111745e+07,4.643218e+06, 3.160658e+09,5.593078e+10, -1.441347e+11,-4.144767e+10, 7.468714e+11,2.192837e+11
3.142081e+07,4.702843e+06, -1.117843e+09,5.601475e+10, -1.434242e+11,-4.391424e+10, 7.465520e+11,2.203661e+11
3.172554e+07,4.762924e+06, -5.389867e+09,5.578318e+10, -1.426716e+11,-4.636793e+10, 7.462310e+11,2.214481e+11
3.203163e+07,4.823460e+06, -9.631379e+09,5.523770e+10, -1.418772e+11,-4.880802e+10, 7.459085e+11,2.225297e+11
3.233909e+07,4.884450e+06, -1.381859e+10,5.438189e+10, -1.410412e+11,-5.123379e+10, 7.455844e+11,2.236107e+11
